cluster_ID,genes
1,HLA-B;CXCL9;CPT1A;C15orf48;LEPR;SPTLC2;Endothelial cells DARC+;DDX3X
2,TNFSF10;CLEC2B;Endothelial cells CD36+;HEG1;C4orf32;THBD;EHD4;SOCS2;SLFN5;GBP4;IFI44L;ELF1;SERPINE1;IGFBP2;CYTH1;CDK17
3,WARS;NRN1;LMO2;PIM3;ANXA2R;CD74;TXNIP;IFI16;LGMN;IFNGR1
4,TIMP1;SERPING1;CEBPD
5,SERPINB9;CD38;CCL4;TNFAIP3;CD69;RGS1;CCL5;SP110;TAGAP;DUSP5;MCL1;FNDC3B
6,ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;ADM;CCL19;CCL8
7,C1S;ATF3;TYMP;NAMPT
8,BST2;IFI27;ISG15;HLA-A;IFITM3;LY6E;IL1R1;Fibroblasts NPY+ SLITRK6+;BCL3;IL15RA
9,CDKN1A;CCND3;PMAIP1;MAFB;KIAA0040;SPATS2L;Inflammatory fibroblasts IL11+ CHI3L1+;SAA1;Fibroblasts SMOC2+ PTGIS+
10,ODC1;CHMP5;GBP5;OAS3;Endothelial cells CA4+ CD36+;ETV6;P2RY6;IFI44;LRG1;Endothelial cells LTC4S+ SEMA3G+;ARHGEF3;TRIM5;SLC15A3;DTX3L;SLC25A28;RNF114;TRIM38;AKT3;CRY1;OASL;MTHFD2L;JAK2;GCH1;TREX1;DDX58;Stromal Cycling cells;SNN
11,LAP3;PLSCR1;LIPA;MAX;HELZ2;TCF7L2;APOL1;BAG1;CSRNP1;IFIT3;GJA4;CX3CL1;PRKD2;DDIT4;MX1;XAF1;TAP1;RBCK1;RNF213;PLIN2;OAS2;NAPA
12,Pericytes HIGD1B+ STEAP4+;STEAP4;MT1G;NMI;TLR3;TNFRSF10A;TLK2;C4orf33;ATP10D;SLC1A1;FZD5;HERC6;SAMD4A;CCDC92;IL15;PARP9;ALYREF;TFEC;SLC25A30;IFIT5;ANKRD22;SCO2;SUN2;Pericytes RERGL+ NTRK2+
13,PPM1K;DDX60;CCR1;TRIM14;GK;MYOF;GZMB;FKBP5;SECTM1;CLEC4E;PI4K2B;LPCAT1;MCOLN2;MAFF;CD274;TRIM21;ACSL1;EXT1;ETV7;ANKFY1;AMPH;PDGFRL;MB21D1;MICB;C9orf91;ULK4;AHNAK2;TDRD7;FUT4;FCGR1A;PMM2;NPAS2;PUS1;ENPP1;IL1RN;CFB;STARD5;FNDC4;MASTL;ARNTL;ZNF385B;UPP2;TRIM34;TMEM255A;TAP2;STAP1;S100A8;RNASE4;PHF15;NT5C3;NOD2;NEURL3;MSR1;MKX;MAP3K14;IL17RB;IFNLR1;HLA-G;HESX1;G6PC;FTSJD2;FFAR2;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CD80;CCNA1;C5orf27;C22orf28;BUB1;B2M;ARG2;AQP9;ABTB2;APOBEC3A;USP18;LAMP3;HSH2D;AIM2;NDC80;BCL2L14;CD163
14,CXCL11;CXCL10;EIF3L;COMMD3;BTN3A3;PDK1;GALNT2;MT1F;IFI6;DCP1A;CASP7;NCF1;ISG20;CYP1B1;NCOA3;PNPT1;RNF19B;PTMA;ERLIN1;ZBP1;MT1X;RPL22
15,IFIT1;BATF2;TRAFD1;Fibroblasts KCNN3+ LY6H+;UNC93B1;IMPA2;SOCS1;GLRX;MAP3K5;TMEM51;NFIL3;IDO1;IRF7;ST3GAL4;PHF11;BLVRA;ANGPTL1;VEGFC
16,GEM;IFI35;TBX3;Myofibroblasts HHIP+ NPNT+;FAM46A;MAB21L2;PNRC1;Myofibroblasts GREM1+ GREM2+;JUNB;STAT1;VMP1;IFI30;SAMHD1;EPSTI1;Fibroblasts SFRP2+ SLPI+;SPSB1;GBA;ABLIM3;CES1
17,GBP1;C10orf10;LGALS3;GBP2;CD9;APOL2;B4GALT5;SCARB2;HES4;Glial cells
18,Lymphatics;ALDH1A1;RASSF4;PFKFB3;RTP4;TNFAIP6;GPX2;GCA;PML;TRIM25;PARP12;TMEM140;RBM25;SIRPA;GBP3;CCDC109B;PXK;SMAD3;MVB12B;FAM134B;IRF2;MT1M;PADI2;MYD88;WHAMM;MT1H;OGFR;GAK;SLC16A1
19,HLA-E;HLA-C;UBE2L6;OPTN;VAMP5;HLA-F;PSMB8;IFITM2;IFIT2;PSMB9;ADAR;IRF9
20,MARCKS;CCL2;IL6ST;RARRES3;TNFSF13B
