cluster_ID,genes
1,CD9;Myofibroblasts GREM1+ GREM2+;Myofibroblasts HHIP+ NPNT+;CYP1B1
2,C1S;TIMP1;CCL2;CEBPD;MARCKS;ATF3;GEM;PNRC1;JUNB;SERPING1;TNFAIP6;Fibroblasts SFRP2+ SLPI+;TNFSF13B;LGALS3;MAFF;ALDH1A1;ANGPTL1
3,MT1X;MT1M;MT1G;HES4;DDIT4;FKBP5;KIAA0040;MT1F;Pericytes RERGL+ NTRK2+;NFIL3;Pericytes HIGD1B+ STEAP4+;GJA4
4,RARRES3;GBP1;ADAMDEC1;Fibroblasts ADAMDEC1+;Activated fibroblasts CCL19+ ADAMADEC1+;VMP1;CCL8;STAT1;FNDC3B;Fibroblasts NPY+ SLITRK6+;TYMP;EPSTI1;IDO1
5,TNFAIP3;MCL1;CLEC2B;NAMPT;PFKFB3;IL6ST;IL1R1;ADM;FAM46A;SCARB2;SPSB1
6,PIM3;SERPINE1;GBP4;EHD4;CCND3;ADAR;TAP1;PTMA;B2M;LIPA;CDK17;SLFN5;RNF19B;Endothelial cells CA4+ CD36+;LGMN;MAX;PMAIP1;SERPINB9;CCDC109B;LRG1;UBE2L6;ABLIM3;GCH1;SP110;DDX58;PARP9;VEGFC;MYOF;RNF114;TREX1;PRKD2;HELZ2;RBCK1;SPTLC2;ETV6;SCO2;APOL1;IFIT1;IFIT5;TRIM38;DTX3L;NMI;IFIT2;SLC25A28;NCOA3;IRF7;PML;OAS3;OAS2;TNFRSF10A
7,RGS1;ISG20;CCL4;CCL5;CD69;DDX3X;RPL22;EIF3L;Lymphatics;PLIN2;CD38;SPATS2L;SAMHD1;MAFB;Fibroblasts KCNN3+ LY6H+;PPM1K;GALNT2;RBM25;ODC1;COMMD3;GLRX;PHF11;BAG1;TMEM51;OPTN;SUN2;SLC16A1;Fibroblasts SMOC2+ PTGIS+;Inflammatory fibroblasts IL11+ CHI3L1+;PXK;MAP3K5;GBP2;TBX3;SOCS1;IFI35;EXT1;CES1;IMPA2;BLVRA;MAB21L2;AHNAK2;MT1H;C15orf48;GPX2
8,TCF7L2;PDGFRL;GCA;IRF2;RNF213;CPT1A;SNN;APOL2;AKT3;CCDC92;DCP1A;PDK1;TAGAP;GBA;ST3GAL4;FNDC4;TMEM140;PI4K2B;MVB12B;GAK;ARG2;NAPA;OGFR;IRF9;RTP4;USP18;LPCAT1;ANKFY1;SLC15A3;CASP7;PARP12;BTN3A3;TRIM25;ERLIN1;DDX60;GBP3;TRAFD1;PMM2;RNASE4;ATP10D;TLR3;TRIM14;TDRD7;TRIM5;JAK2;PNPT1;TLK2;ALYREF;CD274;MYD88;Stromal Cycling cells;PUS1;TRIM21;C4orf33;SLC25A30;MB21D1;WHAMM;IL15;OASL;P2RY6;HERC6;ULK4;ENPP1;GBP5;CFB;ACSL1;FZD5;SECTM1;BATF2;UNC93B1;C9orf91;NPAS2;ZNF385B;ZBP1;UPP2;TRIM34;TMEM255A;TFEC;TAP2;STARD5;STAP1;SLC1A1;SAA1;S100A8;PHF15;PADI2;NT5C3;NOD2;NEURL3;NDC80;MSR1;MKX;MICB;MCOLN2;MASTL;MAP3K14;LAMP3;IL1RN;IL17RB;IFNLR1;IFI30;HSH2D;HLA-G;HESX1;GZMB;GK;G6PC;FUT4;FTSJD2;FFAR2;FCGR1A;ETV7;CXCL11;CTCFL;CRP;CREB3L3;CMAHP;CLEC4E;CLEC4D;CD80;CD163;CCR1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;ARNTL;AQP9;APOBEC3A;ANKRD22;ABTB2;AIM2;AMPH;NCF1;CRY1;MTHFD2L;SIRPA;IL15RA;SMAD3;SAMD4A;CXCL10;CXCL9;RASSF4;Glial cells;FAM134B;CCL19;STEAP4
9,CDKN1A;THBD;ELF1;SOCS2;IFI44L;IFI16;IFITM3;IFITM2;ISG15;IFI6;VAMP5;WARS;TNFSF10;TXNIP;HEG1;Endothelial cells CD36+;DUSP5;LMO2
10,C10orf10;BST2;IGFBP2;LY6E;PSMB9;PSMB8;C4orf32;CYTH1;LEPR;Endothelial cells DARC+;B4GALT5;NRN1;PLSCR1;ANXA2R;ARHGEF3;XAF1;IFI44;LAP3;CHMP5;Endothelial cells LTC4S+ SEMA3G+;CX3CL1;IFIT3;IFNGR1;MX1;CSRNP1;BCL3;HLA-F
11,HLA-B;HLA-C;HLA-A;IFI27;CD74;HLA-E
